number of nodes,number of edges,depth,width,diameter
14,13,6,3,7
6,5,3,3,4
12,11,5,3,6
6,5,3,3,4
3,2,1,2,2
12,11,5,3,6
6,5,3,3,4
1,0,1,1,-1
108,107,46,6,51
16,15,7,3,8
147,146,35,11,46
3,2,1,2,2
32,31,7,8,14
10,9,4,3,6
24,23,7,6,10
3,2,1,2,2
46,45,18,5,20
205,204,49,9,66
3,2,1,2,2
6,5,3,3,4
38,37,9,8,18
12,11,5,3,6
6,5,3,3,4
136,135,21,14,39
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
8,7,3,3,4
16,15,5,5,8
1,0,1,1,-1
1,0,1,1,-1
61,60,11,9,20
6,5,3,3,4
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
117,116,28,13,36
22,21,10,3,11
41,40,18,4,19
1,0,1,1,-1
14,13,6,3,7
3,2,1,2,2
6,5,2,3,4
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
3,2,1,2,2
16,15,7,3,8
14,13,6,3,7
6,5,3,3,4
18,17,7,5,8
75,74,24,8,35
76,75,19,8,28
32,31,15,3,16
6,5,3,3,4
6,5,3,3,4
92,91,22,9,27
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
12,11,4,4,6
18,17,7,4,9
13,12,7,4,7
1,0,1,1,-1
6,5,3,3,4
240,239,37,20,53
20,19,9,3,10
20,19,9,3,10
14,13,6,3,8
48,47,18,5,19
27,26,11,5,13
6,5,2,3,4
46,45,15,5,17
92,91,25,7,32
18,17,8,3,10
67,66,21,7,27
25,24,9,4,11
3,2,1,2,2
77,76,11,13,19
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
5,4,2,3,3
3,2,1,2,2
16,15,7,3,8
14,13,6,3,7
12,11,5,3,7
14,13,6,3,7
14,13,6,3,7
14,13,6,3,7
14,13,6,3,7
47,46,20,5,22
29,28,12,5,14
21,20,10,3,11
1,0,1,1,-1
14,13,6,3,7
1,0,1,1,-1
24,23,10,4,11
6,5,2,3,4
22,21,6,6,8
3,2,1,2,2
34,33,15,4,16
34,33,15,4,16
34,33,15,4,16
31,30,14,3,15
6,5,3,3,4
1,0,1,1,-1
52,51,23,4,25
3,2,1,2,2
100,99,16,11,27
99,98,20,9,29
16,15,7,3,8
22,21,8,5,9
3,2,1,2,2
6,5,2,3,4
1,0,1,1,-1
63,62,10,12,18
14,13,6,3,7
3,2,1,2,2
143,142,23,12,32
14,13,5,5,6
22,21,10,3,11
60,59,28,3,29
1,0,1,1,-1
1,0,1,1,-1
27,26,12,3,13
3,2,1,2,2
5,4,2,3,3
3,2,1,2,2
129,128,18,14,26
33,32,11,6,14
70,69,14,11,19
22,21,9,5,10
22,21,9,5,10
17,16,7,4,9
19,18,8,3,9
12,11,5,3,6
6,5,3,3,4
6,5,3,3,4
11,10,5,4,7
6,5,2,3,4
18,17,8,3,9
26,25,12,3,13
6,5,2,3,4
1,0,1,1,-1
108,107,15,11,27
12,11,5,3,6
6,5,3,3,4
1,0,1,1,-1
10,9,4,3,5
10,9,4,3,5
12,11,5,3,6
6,5,3,3,4
8,7,3,3,4
12,11,5,3,6
24,23,10,4,10
8,7,3,3,4
46,45,12,8,16
12,11,5,3,6
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
3,2,1,2,2
3,2,1,2,2
75,74,29,4,31
22,21,8,5,10
22,21,8,5,10
84,83,15,12,23
20,19,9,3,10
52,51,16,8,17
57,56,28,3,29
6,5,2,3,4
39,38,13,5,17
43,42,20,3,21
9,8,4,3,6
9,8,4,3,5
28,27,9,5,14
1,0,1,1,-1
1,0,1,1,-1
16,15,7,3,9
49,48,22,5,23
8,7,4,3,5
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
3,2,1,2,2
114,113,26,9,38
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
19,18,7,5,10
6,5,3,3,4
3,2,1,2,2
20,19,9,3,11
3,2,1,2,2
6,5,3,3,4
1,0,1,1,-1
10,9,4,3,5
10,9,4,3,5
1,0,1,1,-1
1,0,1,1,-1
14,13,6,3,7
56,55,20,7,23
6,5,3,3,4
16,15,7,3,8
16,15,5,5,8
1,0,1,1,-1
1,0,1,1,-1
81,80,34,6,36
6,5,2,3,4
18,17,8,3,9
18,17,8,3,9
1,0,1,1,-1
12,11,5,3,6
6,5,3,3,4
8,7,4,3,5
3,2,1,2,2
6,5,3,3,4
32,31,10,8,13
76,75,15,11,24
3,2,1,2,2
27,26,9,6,11
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
141,140,26,15,35
40,39,12,8,15
6,5,3,3,4
17,16,6,4,8
6,5,3,3,4
5,4,2,3,3
60,59,21,5,23
22,21,8,5,9
20,19,8,4,10
41,40,17,5,19
5,4,2,3,3
26,25,10,4,12
56,55,24,6,26
58,57,11,9,18
1,0,1,1,-1
1,0,1,1,-1
16,15,7,3,8
62,61,19,7,21
292,291,28,19,45
11,10,6,3,6
6,5,3,3,4
6,5,3,3,4
1,0,1,1,-1
8,7,4,3,5
6,5,3,3,4
5,4,2,2,3
8,7,4,3,5
59,58,21,4,23
24,23,11,3,12
28,27,12,5,13
14,13,6,3,7
14,13,6,3,7
8,7,3,4,5
124,123,32,7,41
8,7,3,4,5
64,63,22,5,23
3,2,1,2,2
3,2,1,2,2
8,7,4,3,5
62,61,13,8,23
13,12,7,3,8
17,16,8,3,9
3,2,1,2,2
17,16,7,3,8
1,0,1,1,-1
25,24,11,3,12
1,0,1,1,-1
1,0,1,1,-1
14,13,4,5,7
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
6,5,2,3,4
43,42,17,7,22
6,5,3,3,4
16,15,7,3,8
3,2,1,2,2
10,9,4,4,5
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
3,2,1,2,2
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
8,7,4,3,5
6,5,3,3,4
8,7,4,3,5
6,5,3,3,4
8,7,4,3,5
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
1,0,1,1,-1
51,50,16,5,21
21,20,8,5,9
8,7,4,3,5
1,0,1,1,-1
1,0,1,1,-1
52,51,23,4,25
6,5,3,3,4
276,275,37,15,47
45,44,22,3,23
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
1,0,1,1,-1
18,17,9,3,10
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
6,5,3,3,4
12,11,5,3,7
1,0,1,1,-1
11,10,5,3,7
1,0,1,1,-1
1,0,1,1,-1
14,13,4,5,7
3,2,1,2,2
1,0,1,1,-1
10,9,5,3,6
8,7,3,3,4
3,2,1,2,2
1,0,1,1,-1
8,7,3,3,4
12,11,5,3,7
14,13,6,3,7
3,2,1,2,2
1,0,1,1,-1
36,35,17,3,18
38,37,16,5,18
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
14,13,4,5,7
1,0,1,1,-1
3,2,1,2,2
68,67,29,7,33
3,2,1,2,2
51,50,17,6,18
6,5,3,3,4
8,7,4,3,5
1,0,1,1,-1
6,5,3,3,4
8,7,4,3,5
3,2,1,2,2
3,2,1,2,2
6,5,2,3,4
3,2,1,2,2
14,13,6,3,8
1,0,1,1,-1
12,11,5,3,6
12,11,5,3,6
10,9,4,3,6
18,17,8,3,10
14,13,6,3,7
123,122,23,9,43
6,5,3,3,4
10,9,4,3,6
8,7,3,3,5
23,22,10,3,12
10,9,4,3,5
8,7,3,3,4
8,7,4,3,5
8,7,3,3,4
14,13,6,3,8
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
10,9,5,3,6
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
52,51,16,6,23
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
46,45,15,7,17
6,5,3,3,4
3,2,1,2,2
1,0,1,1,-1
6,5,3,3,4
14,13,6,3,7
8,7,4,3,5
8,7,4,3,5
22,21,9,4,11
8,7,3,3,4
12,11,5,3,6
1,0,1,1,-1
1,0,1,1,-1
10,9,3,4,6
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
8,7,3,3,4
20,19,9,3,10
19,18,8,3,10
1,0,1,1,-1
35,34,16,3,18
1,0,1,1,-1
1,0,1,1,-1
8,7,3,3,4
20,19,9,3,10
19,18,8,3,10
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
21,20,6,6,8
6,5,3,3,4
8,7,4,3,5
27,26,12,3,14
1,0,1,1,-1
15,14,6,3,7
1,0,1,1,-1
27,26,12,3,14
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
3,2,1,2,2
24,23,11,3,13
3,2,1,2,2
29,28,11,6,12
3,2,1,2,2
3,2,1,2,2
6,5,2,3,4
6,5,3,3,4
34,33,10,5,13
3,2,1,2,2
3,2,1,2,2
29,28,11,6,12
3,2,1,2,2
3,2,1,2,2
6,5,2,3,4
6,5,3,3,4
1,0,1,1,-1
36,35,11,5,14
9,8,3,4,5
3,2,1,2,2
6,5,2,3,4
6,5,3,3,4
6,5,2,3,4
8,7,4,3,5
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
10,9,4,3,5
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
14,13,6,3,7
22,21,8,5,9
13,12,6,4,7
15,14,7,5,8
6,5,2,3,4
24,23,11,3,12
16,15,7,3,8
1,0,1,1,-1
14,13,4,5,8
5,4,2,2,3
6,5,3,3,4
5,4,2,3,3
6,5,3,3,4
24,23,11,3,12
29,28,8,7,12
39,38,17,5,18
6,5,3,3,4
101,100,27,6,44
29,28,11,4,13
1,0,1,1,-1
12,11,4,5,7
12,11,4,5,7
12,11,5,3,6
6,5,3,3,4
6,5,3,3,4
1,0,1,1,-1
70,69,8,21,13
30,29,14,3,15
1,0,1,1,-1
8,7,4,3,5
1,0,1,1,-1
8,7,3,3,4
6,5,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
8,7,4,3,5
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,4,3,5
6,5,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,3,3,4
3,2,1,2,2
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
6,5,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
6,5,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
8,7,4,3,5
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
10,9,5,3,6
25,24,10,5,12
1,0,1,1,-1
3,2,1,2,2
95,94,23,11,26
6,5,3,3,4
1,0,1,1,-1
8,7,4,3,5
1,0,1,1,-1
8,7,4,3,5
1,0,1,1,-1
8,7,4,3,5
36,35,17,3,19
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
1,0,1,1,-1
12,11,5,3,6
30,29,14,3,16
1,0,1,1,-1
74,73,17,8,32
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
12,11,5,3,6
6,5,3,3,4
56,55,17,5,23
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
8,7,4,3,5
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
10,9,4,3,5
6,5,3,3,4
53,52,16,5,21
8,7,3,3,4
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
26,25,12,3,13
1,0,1,1,-1
6,5,2,3,4
10,9,4,3,6
8,7,4,3,5
35,34,14,5,18
6,5,3,3,4
38,37,16,5,20
47,46,22,4,24
16,15,6,5,8
94,93,26,7,30
44,43,19,5,23
88,87,23,15,27
32,31,14,5,18
42,41,17,5,21
10,9,4,3,5
8,7,3,4,5
1,0,1,1,-1
16,15,7,3,8
54,53,26,3,28
3,2,1,2,2
1,0,1,1,-1
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
56,55,23,4,25
1,0,1,1,-1
8,7,3,3,4
32,31,16,3,17
1,0,1,1,-1
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
1,0,1,1,-1
19,18,3,10,6
3,2,1,2,2
1,0,1,1,-1
12,11,5,3,6
3,2,1,2,2
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
8,7,4,3,5
1,0,1,1,-1
8,7,4,3,5
1,0,1,1,-1
236,235,76,9,78
34,33,16,3,17
86,85,37,5,39
13,12,6,3,7
1,0,1,1,-1
118,117,55,5,57
166,165,37,9,60
10,9,4,3,6
20,19,9,3,11
6,5,2,3,4
12,11,4,4,6
22,21,10,3,11
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
3,2,1,2,2
3,2,1,2,2
8,7,3,3,4
70,69,34,3,35
20,19,9,3,10
62,61,30,3,31
14,13,6,3,7
75,74,27,4,29
157,156,51,7,53
1,0,1,1,-1
1,0,1,1,-1
104,103,6,21,12
31,30,12,5,13
1,0,1,1,-1
1,0,1,1,-1
20,19,9,3,10
70,69,17,8,21
1,0,1,1,-1
10,9,5,3,6
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
175,174,50,10,51
10,9,4,3,6
16,15,7,3,8
31,30,14,3,16
8,7,3,3,5
6,5,2,3,4
12,11,5,3,6
12,11,5,3,6
32,31,15,3,16
12,11,5,3,6
32,31,15,3,16
12,11,5,3,6
32,31,15,3,16
25,24,7,7,12
14,13,7,3,8
38,37,18,3,20
12,11,5,3,6
26,25,12,3,13
37,36,16,5,19
14,13,4,5,6
8,7,3,3,4
10,9,4,4,5
80,79,18,10,25
54,53,18,7,19
1,0,1,1,-1
8,7,3,3,4
8,7,3,3,4
25,24,12,4,13
10,9,4,3,5
8,7,3,3,4
12,11,5,3,7
29,28,8,6,9
6,5,2,3,4
6,5,3,3,4
146,145,23,17,33
32,31,12,6,13
6,5,3,3,4
1,0,1,1,-1
196,195,36,12,63
28,27,11,5,13
14,13,6,3,7
12,11,5,3,6
38,37,18,3,19
36,35,17,3,19
18,17,8,3,9
372,371,102,9,103
16,15,7,3,8
30,29,14,3,15
253,252,90,8,97
22,21,10,3,11
14,13,6,3,7
32,31,10,7,14
104,103,38,5,42
121,120,39,7,49
32,31,14,5,15
16,15,6,5,7
1,0,1,1,-1
1,0,1,1,-1
175,174,38,10,44
112,111,33,7,49
34,33,13,4,14
228,227,31,18,51
10,9,4,3,6
14,13,6,3,7
8,7,3,3,5
14,13,6,3,7
8,7,4,3,5
1,0,1,1,-1
1,0,1,1,-1
32,31,13,4,14
6,5,3,3,4
51,50,24,3,26
500,499,75,19,116
10,9,4,3,6
95,94,34,9,36
32,31,15,3,16
12,11,5,4,7
14,13,6,3,8
3,2,1,2,2
9,8,4,4,6
6,5,2,3,4
19,18,6,5,8
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
6,5,2,3,4
31,30,10,5,12
6,5,2,3,4
8,7,3,3,5
6,5,2,3,4
6,5,2,3,4
1,0,1,1,-1
91,90,17,10,28
6,5,2,3,4
37,36,13,6,15
1,0,1,1,-1
8,7,3,3,4
20,19,9,3,10
8,7,3,3,5
8,7,3,3,5
34,33,15,5,18
8,7,3,3,4
10,9,4,3,5
128,127,25,10,32
10,9,5,3,6
8,7,3,4,5
6,5,3,3,4
1,0,1,1,-1
6,5,3,3,4
3,2,1,2,2
3,2,1,2,2
3,2,1,2,2
6,5,2,3,4
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
53,52,26,3,27
3,2,1,2,2
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
6,5,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,2,3,4
19,18,8,3,10
34,33,13,5,15
12,11,5,3,6
8,7,4,3,5
131,130,29,9,37
231,230,46,14,52
17,16,7,4,9
3,2,1,2,2
21,20,7,7,10
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
1,0,1,1,-1
45,44,21,4,23
3,2,1,2,2
47,46,22,4,24
16,15,7,3,9
20,19,9,3,11
97,96,27,8,37
3,2,1,2,2
1,0,1,1,-1
129,128,28,10,30
3,2,1,2,2
12,11,5,3,6
3,2,1,2,2
3,2,1,2,2
14,13,6,3,7
3,2,1,2,2
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
36,35,17,3,18
16,15,7,3,8
58,57,13,10,17
3,2,1,2,2
10,9,4,3,5
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
3,2,1,2,2
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
1,0,1,1,-1
1,0,1,1,-1
6,5,3,3,4
12,11,5,3,6
22,21,10,3,12
6,5,2,3,4
19,18,7,5,9
25,24,8,5,11
12,11,5,3,7
19,18,7,5,9
37,36,14,5,17
180,179,88,5,89
10,9,4,3,6
1,0,1,1,-1
18,17,8,3,9
1,0,1,1,-1
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
6,5,2,3,4
3,2,1,2,2
8,7,3,3,5
9,8,4,4,6
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
10,9,4,3,5
53,52,21,5,22
6,5,2,3,4
1,0,1,1,-1
12,11,5,3,6
180,179,28,17,43
22,21,8,5,10
22,21,10,3,11
8,7,3,3,4
8,7,3,3,4
12,11,5,3,6
6,5,2,3,4
51,50,13,8,15
14,13,7,4,7
17,16,7,4,9
3,2,1,2,2
52,51,24,4,25
29,28,11,6,12
54,53,17,7,19
38,37,13,6,15
14,13,6,3,7
6,5,3,2,4
29,28,14,3,16
6,5,2,3,4
16,15,7,3,9
10,9,3,4,5
8,7,4,3,5
12,11,5,3,6
8,7,4,3,5
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
10,9,4,3,5
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
3,2,1,2,2
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
1,0,1,1,-1
10,9,4,3,5
8,7,3,3,5
26,25,12,3,13
34,33,11,5,17
48,47,23,3,24
12,11,5,3,7
63,62,28,5,33
54,53,26,3,27
71,70,35,3,36
163,162,10,27,16
18,17,8,3,10
6,5,3,3,4
1,0,1,1,-1
156,155,53,11,54
142,141,55,5,56
607,606,234,7,235
6,5,3,3,4
40,39,18,4,19
8,7,4,3,5
53,52,24,5,25
134,133,36,7,42
16,15,7,3,8
21,20,8,4,9
6,5,3,3,4
6,5,3,3,4
6,5,3,3,4
690,689,38,40,68
30,29,9,7,11
51,50,24,3,25
12,11,5,3,6
77,76,23,8,24
20,19,9,3,10
37,36,18,3,20
8,7,3,3,4
10,9,4,3,6
12,11,5,3,6
40,39,19,3,20
28,27,8,7,11
3,2,1,2,2
9,8,4,4,6
10,9,4,3,5
8,7,3,3,5
5105,5104,120,144,168
10,9,4,3,6
1,0,1,1,-1
91,90,18,11,27
31,30,15,3,16
17,16,7,3,8
20,19,9,3,10
14,13,6,3,7
9,8,4,4,6
30,29,14,3,15
16,15,6,5,8
56,55,20,6,22
10,9,4,3,5
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,3,3,4
10,9,4,3,6
37,36,10,9,14
3,2,1,2,2
3,2,1,2,2
12,11,5,3,6
10,9,5,3,6
16,15,7,3,9
121,120,20,13,25
1,0,1,1,-1
1,0,1,1,-1
1,0,1,1,-1
45,44,16,5,18
1,0,1,1,-1
15,14,7,3,8
1,0,1,1,-1
12,11,4,5,6
141,140,23,16,31
13,12,6,4,7
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
3,2,1,2,2
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,2,3,4
6,5,3,3,4
1,0,1,1,-1
8,7,4,3,5
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
6,5,3,3,4
1,0,1,1,-1
8,7,4,3,5
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,4,3,5
3,2,1,2,2
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
3,2,1,2,2
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
3,2,1,2,2
1,0,1,1,-1
6,5,2,3,4
6,5,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
8,7,3,3,4
1,0,1,1,-1
6,5,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
6,5,3,3,4
1,0,1,1,-1
6,5,2,3,4
1,0,1,1,-1
6,5,2,3,4
6,5,3,3,4
3,2,1,2,2
1,0,1,1,-1
6,5,2,3,4
20,19,9,3,10
6,5,3,3,4
8,7,4,3,5
42,41,20,3,21
6,5,3,3,4
8,7,3,3,4
10,9,4,3,5
10,9,4,3,5
26,25,6,9,7
36,35,17,3,18
26,25,12,3,13
14,13,6,3,7
16,15,7,3,8
8,7,4,3,5
65,64,32,3,33
16,15,7,3,8
449,448,154,7,155
54,53,16,8,21
10,9,4,3,5
16,15,7,3,8
20,19,8,4,9
3,2,1,2,2
11,10,5,4,6
162,161,34,11,35
20,19,9,3,10
67,66,13,7,20
18,17,8,3,10
17,16,7,3,8
8,7,3,3,5
15,14,6,5,8
31,30,14,4,15
175,174,44,9,55
19,18,8,3,9
8,7,3,3,5
58,57,27,5,28
29,28,10,5,11
20,19,9,3,10
56,55,26,5,27
13,12,6,3,7
40,39,15,5,17
12,11,5,3,6
94,93,5,28,10
80,79,22,8,30
8,7,3,3,4
6,5,3,3,4
12,11,5,3,6
16,15,7,3,8
3,2,1,2,2
11,10,5,4,6
109,108,23,11,40
3,2,1,2,2
45,44,13,6,15
8,7,4,3,5
3,2,1,2,2
18,17,8,3,9
941,940,47,61,85
320,319,26,33,45
22,21,10,3,12
499,498,27,123,28
14,13,6,3,8
433,432,69,12,98
83,82,27,6,28
75,74,23,8,24
22,21,8,5,12
20,19,7,5,8
48,47,12,9,14
151,150,38,12,45
17,16,7,3,8
20,19,8,6,9
12,11,5,3,6
60,59,13,11,15
28,27,13,3,14
19,18,9,3,10
43,42,17,5,19
129,128,44,7,45
188,187,17,25,29
8,7,4,3,5
6,5,3,3,4
172,171,19,25,31
3,2,1,2,2
8,7,4,3,5
47,46,22,3,23
10,9,4,3,5
353,352,149,5,153
6,5,3,3,4
155,154,29,10,38
31,30,13,5,14
6,5,3,3,4
20,19,8,4,9
18,17,8,3,10
23,22,10,3,11
8,7,3,3,4
1,0,1,1,-1
12,11,5,3,7
8,7,3,3,4
6,5,3,3,4
8,7,3,3,4
1,0,1,1,-1
152,151,28,15,43
1,0,1,1,-1
25,24,9,5,10
11,10,4,3,5
17,16,7,4,8
10,9,4,3,5
38,37,7,9,14
8,7,3,3,4
37,36,18,3,19
18,17,8,3,10
18,17,8,3,10
36,35,15,5,17
102,101,45,6,47
6,5,2,3,4
10,9,4,3,6
6,5,2,3,4
10,9,4,3,6
12,11,5,3,6
12,11,5,3,7
20,19,9,3,11
8,7,3,3,4
60,59,28,5,30
